,City,State,ZipCode,Country
1852,Springdale,,,US
1853,Galena,IL,61036,US
1854,Melbourne,Victoria,3052,AU
1855,Vancouver,British Columbia,V6B 5K3,CA
1856,,,,
1857,Prosper,TX,75078,US
1858,Tyne And Wear,,NE1 1SG,GB
1859,London,Gt Lon,SW2 1AU,GB
1860,"Orange,",CA,92867,US
1861,Rochester,MN,55901,US
1862,South Miami,FL,33143,US
1863,Los Angeles,CA,90046,US
1864,Vancouver,British Columbia,,CA
1865,San Francsico,CA,94110,US
1866,London,England,NW1 2FB,GB
1867,,,658065,
1868,Geneva,Geneva,1299,CH
1869,Birmingham,,35203,US
1870,New Delhi,Delhi,,IN
1871,Peoria,AZ,85382,US
1872,Clovis,CA,,US
1873,,,,AU
1874,Madrid,Community of Madrid,28039,ES
1875,Rockwood,,N0B 2K0,CA
1876,Atlanta,,30303,US
1877,Portsmouth,NH,3801,US
1878,Worcester,MA,,US
1879,Cardiff,Cardiff,CF10 1BS,GB
1880,Toronto,Ontario,,CA
1881,Upper Marlboro,MD,,US
1882,,EX,10680,ES
1883,London,England,E1 6QL,GB
1884,Austin,TX,78759,US
1885,Mcdonough,GA,30253,US
1886,Nr Halifax,,HX4 8LR,
1887,Austin,TX,78701,US
1888,Northbrook,IL,60062,US
1889,Adelaide,SA,5000,AU
1890,Scottsdale,AZ,,US
1891,Los Angeles,CA,90033,US
1892,Little Baddow,Essex,CM3,GB
1893,New York,NY,10018,US
1894,Blythewood,All of South Carolina,29016,US
1895,Augusta,GA,30907,US
1896,Ottawa,ON,K1P 5B4,CA
1897,,,,
1898,Edmonton,AB,T6G,CA
1899,Chicago,IL,60642,US
1900,Anvers,Région Flamande,5820,BE
1901,Wauwatosa,WI,53213,US
1902,New York,NY,,US
1903,Newark,NJ,7102,US
1904,McLean,VA,22102,US
1905,Phoenix,AZ,,US
1906,Orlando,FL,,US
1907,,,,
1908,Dublin,OH,43017,US
1909,Lake Forest,CA,92630,US
1910,Saratoga,CA,95070,US
1911,Adelaide,SA,5000,AU
1912,Brooklyn,New York,,US
1913,Port Of Spain,Port Of Spain,,TT
1914,Piscataway,NJ,,US
1915, San Francisco,CA,94102,US
1916,Saddle Brook,NJ,,US
1917,Holyoke,MA,1040,US
1918,Bristol,City of Bristol,,GB
1919,Sacramento,CA,95825,US
1920,Amarillo,TX,79101,US
1921,Portola Valley,CA,94028,US
1922,London,Gt Lon,W4 5TS,GB
1923,New Orleans,LA,70130,US
1924,,,,
1925,Framingham,MA,,US
1926,,,,
1927,Deerfield,IL,60015,US
1928,Macomb,IL,61455,US
1929,Geneva,IL,,US
1930,Orlando,FL,32806,US
1931,Hampshire,,GU51 2UZ,GB
1932,New York,NY,10020,US
1933,Dublin,Dublin,,IE
1934,Chula Vista ,Ca,91910,
1935,Lewiston,ID,83501,US
1936,Ennis ,Tx,75119,US
1937,Winter Park,FL,32792,US
1938,Riverton,UT,84065,US
1939,Portland,OR,97217,US
1940,Melbourne,FL,32901,US
1941,Chicago,IL,60630,US
1942,Montreal,Quebec,H2Y 2Z9,CA
1943,New York,NY,,US
1944,Paterson,NJ,7501,US
1945,Virginia Beach,VA,23454,US
1946,Frenchtown,NJ,8825,US
1947,San Antonio,TX,78219,US
1948,London Borough of Hackney,England,EC2A 3AY,GB
1949,Honolulu,HI,96815,US
1950,Grand Cayman,,,KY
1951,Houston,TX,77005,US
1952,Toronto,Ontario,,CA
1953,Auckland,Auckland,624,NZ
1954,Ixelles,Brussels,1050,BE
1955,London,Gt Lon,SE1 9DT,GB
1956,Chicago,IL,60601,US
1957,Chicago,IL,60613,US
1958,,,,
1959,San Antonio,,78216,US
1960,Glasgow,Glasgow City,,GB
1961,New York,NY,10012,US
1962,San Diego,CA,92108,US
1963,Wichita,KS,67210,US
1964,Boston,MA,2116,US
1965,,,,
1966,,,EC2M 6UR,
1967,Washington,DC,20006,US
1968,Bozeman,Mt,59715,US
1969,,,,
1970,Atlanta,GA,30339,US
1971,Huntington Beach,CA,92646,US
1972,London,Greater London,WC2E 7DN,GB
1973,San Francisco,CA,94102,US
1974,Camarillo,CA,93012,US
1975,Bethesda,MD,20814,US
1976,New York,NY,10017,US
1977,Sunnyvale,CA,94089,US
1978,French Lick,IN,47432,US
1979,London,London,E1 6LT,GB
1980,San Francisco,CA,94107,US
1981,,,,
1982,Vancouver,BC,V6H 3S5,CA
1983,Bundaberg ,QLD,4670,AU
1984,Saint Paul,MN,,US
1985,Hooton,,CH66 1QU,GB
1986,Vancouver,BC,V6B 1L6,CA
1987,Toowoomba,QLD,4350,AU
1988,Leicester,,LE1 1SB,GB
1989,Blacksburg,VA,24060,US
1990,Boston,MA,,US
1991,Niles,IL,60076,US
1992,Sacramento,CA,95814,US
1993,Philadelphia,PA,19125,US
1994,Lexington,SC,29073,US
1995,,,,
1996,,,,
1997,Birmingham,AL,35211,US
1998,Potts Point,,2010,AU
1999,New Orleans,LA,,US
2000,Calgary,AB,,CA
2001,Orlando,FL,,US
2002,,,,
2003,Worthington,OH,43085,US
2004,Ensenada,BC,22785,MX
2005,Glasgow,Glasgow City,G5 8JN ,GB
2006,Orlando,FL,32811,US
2007,Chicago,IL,60614,US
2008,,,,
2009,Helena,MT,59601,US
2010,,,,
2011,Cleveland,OH,44115,US
2012,,,,
2013,New York,NY,10010,US
2014,Kota,RJ,,IN
2015,,,,
2016,,,96813,
2017,Ontario,CA,91762,US
2018,,,,
2019,,,,
2020,Milan,Lombardy,,IT
2021,Milan,Lombardy,20123,IT
2022,St. Louis,MO,63117,US
2023,,,,
2024,Strongsville,OH,44136,US
2025,New York,NY,10467,US
2026,Nsw Australia,,2776,
2027,Kansas City,MO,64134,US
2028,Mount Pleasant,SC,29464,US
2029,Poteau,OK,74953,US
2030,Los Angeles,CA,90045,US
2031,Buffalo,NY,14218,US
2032,Charlotte,NC,28209,US
2033,(888) 236-2427,,,
2034,Toronto,ON,M5C 2R9,CA
2035,Washington,DC,20008,US
2036,Mansfield,TX,76063,US
2037,Orange,CA,92866,US
2038,London,"London, City Of",WC1N 1HT,GB
2039,Leicester,England,LE1,GB
2040,Raleigh,NC,27616,US
2041,Atco,NJ,8004,US
2042,Charleston,SC,29409,US
2043,Chesapeake,VA,23320,US
2044,New York,NY,10018,US
2045,Minneapolis,MN,55454,US
2046,New Orleans,LA,70115,US
2047,Munich,BY,80636,DE
2048,Icel,Mersin Province,33140,TR
2049,Neenah,WI,54956,US
2050,,,EH99 1SP,GB
2051,Delta,UT,84624,US
2052,Buenos Aires,Distrito Federal,1900,AR
2053,Irving,TX,75063,US
2054,Alexandria,VA,22310,US
2055,Verona,Veneto,37138,IT
2056,University Place,WA,98466,US
2057,Copenhagen,Copenhagen K,1455,DK
2058,Paris,IdF,75012,FR
2059,Melbourne,Victoria,3000,AU
2060,Houston,TX,77042,US
2061,Los Angeles,CA,90047,US
2062,,,,
2063,Seattle,WA,98107,US
2064,Airdrie,AB,T4B 2W2,CA
2065,,,,
2066,Carlsbad,CA,92009,US
2067,Sarasota,FL,34240,US
2068,New York,NY,10001,US
2069,Norwich,Norfk,NR7 0UB,GB
2070,Beijing,,100044,CN
2071,Los Angeles,CA,90028,US
2072,Marietta,GA,30066,US
2073,London,London,WC1H 9EF,GB
2074,Toronto,ON,M5H 0A3,CA
2075,Washington,DC,20018,US
2076,New York,NY,10031,US
2077,Bellevue,WA,98005,US
2078,Atlanta,GA,30346,US
2079,Jerez de la Frontera,"C/Platino, 12",11405,ES
2080,Santa Monica,CA,90401,US
2081,Orange,CA,92868,US
2082,,,,US
2083,San Francisco,CA,94103,US
2084,,,,
2085,Chicago,IL,60628,US
2086,Omaha,NE,68182,US
2087,,,,GB
2088,Middlesbrough,Teeside,TS5 7JY,GB
2089,St Louis Park,MN,55416,US
2090,Utica,MI,48315,US
2091,Copenhagen,Capital Region of Denmark,1256,DK
2092,Mount Rainier,MD,20712,US
2093,Buena Park,CA,90620,US
2094,Dallas,TX,75244,US
2095,Cape Coral,FL,33991,US
2096,Weston,FL,33326,US
2097,,,,
2098,Minneapolis,MN,55415,US
2099,Godo,Emilia-Romagna,48026,IT
2100,Kennebunkport,ME,4046,US
2101,Toronto,ON,M5A 1B6,CA
2102,Salinas,CA,93908,US
2103,Chicago,,60605,US
2104,Tempe,AZ,85281,US
2105,Belmont,CA,94002,US
2106,Edinburgh,City of Edinburgh,EH6 6EX,GB
2107,Sydney,New South Wales,2000,AU
2108,Charleston,SC,29401,US
2109,Washington,DC,20001,US
2110,San Francisco,CA,94110,US
2111,Lethbridge,AB,,CA
2112,Brighton And Hove,,bn1 1we,GB
2113,San Francisco,CA,94111,US
2114,Brooklyn Park,MN,55445,US
2115,Chicago,IL,60602,US
2116,Houston,TX,77021,US
2117,Lille,,59000,FR
2118,Lynchburg,VA,24501,US
2119,Smyrna,GA,30082,US
2120,,,,
2121,,,,
2122,San Antonio,TX,78217,US
2123,Chicago,IL,60605,US
2124,,,,
2125,Rocky River,OH,44116,US
2126,Lemont,IL,60439,US
2127,New Britain,CT,6052,US
2128,Madison,WI,53703,US
2129,Decatur,IL,62521,US
2130,Wellington,Wellington,6011,NZ
2131,Manchester,Greater Manchester,M14 4SQ,GB
2132,Indianapolis,IN,46208,US
2133,Southington,CT,6489,US
2134,Cordova,TN,38018,US
2135,Stamford,CT,6902,US
2136,Breckenridge,CO,80424,US
2137,,,,
2138,Wilmington,DE,19801,US
2139,Washington,DC,20010,US
2140,New York,NY,,US
2141,,,,
2142,Madrid,Community of Madrid,,ES
2143,Tampa,FL,,US
2144,Purley,Gt Lon,CR8 1DP,GB
2145,Lancaster,PA,17601,US
2146,Orlando,FL,,US
2147,Lane Cove North,NSW,2066,AU
2148,Norfolk,VA,23517,US
2149,Stanford,CA,94305,US
2150,Dagenham,Barking And Dagenham,RM10 8PS,GB
2151,Providence,RI,2912,US
2152,Westminster,MD,21158,US
2153,Knoxville,TN,37912,US
2154,Minneapolis,MN,55415,US
2155,Glenroy,Victoria,3046,AU
2156,Boston,MA,2129,US
2157,Oro-Medonte,Ontario,,CA
2158,Montgomery,AL,,US
2159,San Francisco,CA,94105,US
2160,Paris,IDF,,FR
2161,Ridgeland,MS,39157,US
2162,Northcote,Victoria,3070,AU
2163,New York,NY,10023,US
2164,Farmers Branch,TX,75234,US
2165,Houston,TX,77007,US
2166,Ann Arbor,Michigan,48109,US
2167,Brooklyn,NY,11215,US
2168,New York,NY,10019,US
2169,Morrisville,PA,19067,US
2170,DUQUESNE,PA,15110,US
2171,Redwood City,CA,94065,US
2172,Bristol,"Bristol, City Of",BS1 2EL,GB
2173,Tempe,AZ,85281,US
2174,Linthicum Heights,MD,,US
2175,,,,
2176,Bronx,NY,,US
2177,Varese,Lombardia,21100,IT
2178,Spartanburg,SC,29306,US
2179,Lake Worth,TX,76135,US
2180,Burien,WA,98148,US
2181,Madrid,Madrid,28006,ES
2182,Mesa,AZ,85282,US
2183,,,,QA
2184,Farmington Hills,MI,48334,US
2185,Irvine,CA,92618,US
2186,New York,NY,10001,US
2187,,,,
2188,Atlanta,GA,30327,US
2189,Albany,NY,12202,US
2190,Antioch,CA,94509,US
2191,Chicago,IL,,US
2192,Saskatoon,Saskatchewan,,CA
2193,Warwick,NY,10990,US
2194,Henrico,VA,23233,US
2195,San Francisco,CA,94110,US
2196,New York,NY,11201,US
2197,Hoeilaart,Flemish Region,1560,BE
2198,Port Coquitlam,BC,,CA
2199,Chicago,IL,60604,US
2200,Piscataway Township,NJ,8854,US
2201,Brooklyn,New York,11210,US
2202,Bucharest,Bucharest,20961,RO
2203,Swansea,Swansea,SA1 1DW,GB
2204,New York,NY,,US
2205,,Cork,,IE
2206,Iowa City,IA,52246,US
2207,Stowe,VT,5672,US
2208,Knoxville,TN,37902,US
2209,,,,
2210,Airway Heights,WA,99001,US
2211,Chicago,IL,60647,US
2212,Airdrie,AB,T4B 2W2,CA
2213,Toronto,ON,M5S 2R5,CA
2214,,,,
2215,,,,
2216,Sainte-Julie,QC,J3E 1R3,CA
2217,Cardiff,Wales,CF15 7QX,GB
2218,Miami,FL,33131,US
2219,Richmond Heights,MO,63117,US
2220,Media,PA,19063,US
2221,San Antonio,TX,78254,US
2222,Sheffield,England,S1 2NS,GB
2223,Tamarac,FL,33319,US
2224,Foggia,Puglia,71121,IT
2225,Stone Mountain,GA,30083,US
2226,Sabadell,CT,8205,ES
2227,Vancouver,BC,V6Z 2E7,CA
2228,,,,
2229,Las Vegas,NV,89117,US
2230,,,,
2231,Austin,TX,78702,US
2232,,,,
2233,Brentwood,CA,94513,US
2234,,,,
2235,Livingston,West Lothian,EH54 7EP,GB
2236,Boiling Springs,NC,28152,US
2237,Bethesda,MD,20814,US
2238,Lyneham,Australian Capital Territory,2602,AU
2239,Mt Juliet,TN,37122,US
2240,Austin,TX,78704,US
2241,,,,
2242,Miami,FL,33136,US
2243,Weymouth,Dorset,DT4,GB
2244,Tulsa,OK,74145,US
2245,Falls Church,VA,22046,US
2246,Staten Island,NY,10303,US
2247,Calgary,Alberta,T2J 3B3,CA
2248,Chicago,IL,60654,US
2249,Vienna,VA,22182,US
2250,Scottsdale,AZ,85256,US
2251,Wolli Creek,NSW,2205,AU
2252,San Antonio,TX,78205,US
2253,,Akershus,1420,NO
2254,New York,NY,10011,US
2255,Louisville,KY,40220,US
2256,Morningside,QLD,,AU
2257,,,,
2258,Orange Couty,CA,,US
2259,,,,
2260,,,,
2261,New York,NY,10110,US
2262,Blue Springs,MO,64014,US
2263,Dallas,TX,75204,US
2264,,,,
2265,Miami Beach,FL,33139,US
2266,Lima,Lima,,PE
2267,Pleasanton,CA,94588,US
2268,London,ON,N6C 4P9,CA
2269,Naperville,,,US
2270,Pontiac,MI,,US
2271,,,,
2272,Indianapolis,IN,46237-8583,US
2273,Southampton,England,SO14 7LW,GB
2274,Virginia Beach,VA,23464,US
2275,Manhattan Beach,CA,90266,US
2276,Laguna Beach,CA,92651,US
2277,Vancouver,BC,V5T 3G1,CA
2278,Grosse Pointe Woods,MI,48236,US
2279,Vancouver,BC,V6E 4J6,CA
2280,Brooklyn,NY,11211,US
2281,Melbourne,Victoria,3010,AU
2282,Montgomery,AL,36104,US
2283,Adelaide,SA,5000,AU
2284,Milwaukee,WI,53207,US
2285,Guayaquil,Guayas,,EC
2286,San Antonio,TX,78205,US
2287,Babson Park,MA,2457,US
2288,Vilnius,Vilnius County,1112,LT
2289,Rochester,NY,14607,US
2290,Singapore City,Singapore City,,SG
2291,Denver,CO,80202,US
2292,Yonkers,NY,,US
2293,North Richland Hills,TX,76180,US
2294,Concord,CA,94520,US
2295,Thonotosassa ,Fl,33592,US
2296,Winnipeg,,R3B 2J2 ,CA
2297,Minneapolis,MN,55455,US
2298,Kingston,PA,18704,US
2299,London,London,N1 9RL,GB
2300,Daytona Beach,FL,32118,US
2301,,,NN15 6ER,
2302,Slough,,SL3 7EF,GB
2303,Chermside,QLD,4032,US
2304,Dar Es Salaam,Dar Es Salaam,9574,TZ
2305,Baton Rouge,LA,70802,US
2306,Bensenville,IL,60106-2697,US
2307,Wichita,KS,67206,US
2308,Barcelona,8,8030,ES
2309,San Francisco,CA,94110,US
2310,Morphett Vale,SA,5162,AU
2311,Denver,CO,,US
2312,Randolph,MA,2368,US
2313,Hanford,CA,93230,US
2314,Los Angeles,CA,90025,US
2315,Luton,Bedfordshire,LU1 3JU,GB
2316,Detroit,MI,48226,US
2317,Austell,GA,30106,US
2318,,,`,
2319,Lewisville,TX,75067,US
2320,Venice,FL,34293,US
2321,,,CT2 7NF,
2322,,,,
2323,Guangzhou China ,,,
2324,Irvine,CA,,US
2325,,,,
2326,Wrexham,Wales,LL13,GB
2327,Tulsa,OK,74103,US
2328,,,,BR
2329,Dallas,TX,75215,US
2330,Calgary,AB,T3E 0A3,CA
2331,,Wien,1040,AT
2332,Santa Rosa,CA,95403,US
2333,New York,NY,10002,US
2334,New York,NY,11249,US
2335,Cleveland,OH,44106,US
2336,Ahmedabad,GJ,,IN
2337,Leeds,Yorkshire,LS15 8ZB,GB
2338,Nairobi,,200,KE
2339,Salida,CA,95368,US
2340,,,,US
2341,Ashburn,VA,20147,US
2342,Durham,NC,27705,US
2343,Escondido,CA,92029,US
2344,,,,
2345,Paris,IDF,75008,FR
2346,Newark,NJ,7108,US
2347,Calgary,Alberta,T2N 1N4,CA
2348,Moonee Ponds,Victoria,3039,AU
2349,Regent's Park,London,NW1 4LE,GB
2350,BEVERLY HILLS,FL,,US
2351,Orlando,FL,32804,US
2352,Boston,MA,2115,US
2353,Austin,Texas,78701,US
2354,,,,
2355,,,,
2356,,Greater London,WC2A 3LJ,GB
2357,Rossville,MD,21237,US
2358,Tampa,FL,33602,US
2359,San Francisco,CA,,US
2360,Airdrie,Alberta,T4A 0C6,CA
2361,Nashville,TN,,US
2362,,,,
2363,New York,NY,11225,US
2364,,,,
2365,,,,
2366,Roseville,CA,CA,US
2367,Barcelona,Catalonia,8005,ES
2368,DEKALB,IL,60115,US
2369,,,,
2370,Bournemouth,Dorset County,BH2 5HE,GB
2371,Kuala Lumpur,Kuala Lumpur,,MY
2372,Beaverton,OR,97006,US
2373,Longlea,VIC,3551,AU
2374,Macgregor,ACT,2615,AU
2375,New York,NY,10031,US
2376,Zephyrhills,FL,33541,US
2377,San Diego,CA,92103,US
2378,Athens Clarke,GA,30606,US
2379,San José,San Jose,,CR
2380,Portland,ME,4101,
2381,,,,
2382,Springfield,IL,62701,US
2383,Anaheim,CA,92806,US
2384,Memphis,TN,38103,US
2385,St. Louis Park,MN,55416,US
2386,Lewisburg,PA,17837,US
2387,,,,
2388,San Francisco,CA,94110,US
2389,Austin,TX,,US
2390,Philadelphia,PA,19147,US
2391,North Las Vegas,NV,89032,US
2392,London,London,WC2H 9HQ,GB
2393,New York,NY,,US
2394,Cardiff,Cardiff,NP10 8FY,GB
2395,Boston,,2110,US
2396,Livonia,MI,48154,US
2397,,,,
2398,Atlanta,GA,,US
2399,Memphis,TN,38117,US
2400,Chandler,AZ,85225,US
2401,Ridgeland,SC,29936,US
2402,New York,NY,10011,US
2403,Saint Louis,MO,,US
2404,Hilton,England,DE65,GB
2405,,,,
2406,,,,
2407,Los Angeles,CA,90013,US
2408,Mankato,MN,56001,US
2409,,,,US
2410,Seattle,WA,98109,US
2411,London,,SE1 6NX,GB
2412,Salisbury North Sa,,5108,
2413,Las Vegas,NV,NV 89109-4338,US
2414,Toronto,ON,M6G 1C2,CA
2415,,,,
2416,Falmouth,Cnwll,TR11 4SZ,GB
2417,,,,
2418,Toronto,ON,M8V,CA
2419,Ottawa,ON,,CA
2420,Ottawa,ON,K2G 1V8,CA
2421,Woodinville,WA,98072-6010,US
2422,Brooklyn,NY,,US
2423,Halifax,NS,B3J1G1,CA
2424,Sacramento,CA,95823,US
2425,,,,
2426,New York,NY,10011,US
2427,Denton,TX,76201,US
2428,,,,
2429,London,London,WC1A 1DU,GB
2430,,,,
2431,Tasmania,,7030,AU
2432,,,,
2433,London,Gt Lon,N1C,GB
2434,Greenville Sc,,29605,
2435,Seattle,WA,98101,US
2436,Charlottesville,VA,22901,US
2437,Chicago,IL,60657,US
2438,Halifax,Nova Scotia,,CA
2439,Woodinville,WA,,US
2440,Boston,MA,2115,US
2441,Little Rock,AR,72202,US
2442,Evans,GA,30809,US
2443,Oak Lawn,IL,60453,US
2444,,,,
2445,Pasadena,CA,91103,US
2446,Charlotte,NC,28203,US
2447,Orlando,FL,32801,US
2448,San Jose,CA,95138,US
2449,Houston,TX,77005,US
2450,Santa Clara,CA,,US
2451,Hasbrouck Heights,NJ,7604,US
2452,London,,EC1Y 1AA,GB
2453,New York,NY,10003,US
2454,,,,
2455,Indianapolis,IN,46202,US
2456,Barcelona,Barcelona,8001,ES
2457,North Haven,CT,6473,US
2458,Lexington,VA,22450,US
2459,Atlanta,GA,30308,US
2460,,,,GB
2461,Wichita,KS,,US
2462,London,,SE11 5HY,GB
2463,Louisville,KY,,US
2464,Duncan Falls,OH,43734,US
2465,Glasgow    ,,,
2466,West Hollywood,CA,90046,US
2467,Virginia Beach,VA,23451,US
2468,Seattle,WA,98103,US
2469,Raleigh,NC,27615,US
2470,Toronto,Ontario,,CA
2471,Montréal La Cluse,Rhone Alpes,H3B 4A5,FR
2472,Los Altos,CA,94024,US
2473,Boston,MA,2115,US
2474,Potten End,Hertfordshire,HP4 2RZ,GB
2475,Los Angeles,CA,90045,US
2476,Brisbane Australia,,4064,
2477,Columbia,SC,29210,US
2478,Boston,MA,2116,US
2479,Louisville,KY,40206,US
2480,,,,
2481,Ottawa,ON,K2B 6J6,CA
2482,Braintree,MA,2210,US
2483,Sugar Land,TX,77479,US
2484,Durham,Durham,DH1 1TN,GB
2485,,,,
2486,,,,
2487,,,,
2488,Bar Mills,ME,4004,US
2489,,,,
2490,Knoxville,TN,37922,US
2491,London,Gt Lon,W1T 4RR,GB
2492,Jackson,MS,39201,US
2493,,東京都,,JP
2494,Kilkenny,IE,,IE
2495,Grand Rapids,MI,49512,US
2496,Nashville,TN,37204,US
2497,Palo Alto,CA,94301,US
2498,New York,NY,10003,US
2499,San Francisco,CA,94105,US
2500,San Jose,CA,94043,US
2501,"Buckinghamshire, High Wycombe",,HP14,GB
2502,West Dover,VT,5356,US
2503,,,,
2504,Santurce,Puerto Rico,914,PR
2505,Durham,NC,27707,US
2506,Villa Las Estrellas,ANTARTICA,,US
2507,San Francisco,CA,94105,US
2508,Portland,OR,97204,US
2509,Atlanta,GA,30324,US
2510,,,,
2511,Melbourne,VIC,3000,AU
2512,New York,NY,11212,US
2513,Brisbane,Queensland,4000,AU
2514,Conway,AR,72032,US
2515,London,England,,GB
2516,Sydney,New South Wales,2176,AU
2517,Cobram,VIC,3643,AU
2518,,,,
2519,Philadelphia,PA,,US
2520,Washington,DC,20012,US
2521,Euless,TX,76040,US
2522,,,,
2523,Birmingham,AL,35022,US
2524,Boston,MA,2115,US
2525,London,Gt Lon,W8 5SY,GB
2526,West Palm Beach,FL,33401,US
2527,New York,NY,11203,US
2528,Dakar,Dakar,,SN
2529,,,,
2530,,West York,,GB
2531,Boston,MA,,US
2532,Princeton,NJ,,US
2533,Oelwein,IA,500662,US
2534,New York,NY,,US
2535,Austin,TX,78701,US
2536,Thorold,Ontario,,CA
2537,,,,
2538,Folsom,CA,95630,US
2539,London Borough of Islington,England,EC2A,GB
2540,Lowell,NC,28098,US
2541,Long Beach,CA,90813,US
2542,,,,
2543,,,,
2544,,,,
2545,Bogotá,Distrito capital,111311,CO
2546,London,,,GB
2547,Lake Buena Vista,FL,,US
2548,London,Gt Lon,SW1Y 5AD,GB
2549,Huntsville,AL,35803,US
2550,Middleville,MI,49333,US
2551,Philadelphia,PA,19107,US
2552,Los Angeles,CA,90045,US
2553,San Frnacisco,CA,94118,US
2554,Barcelona,CT,,ES
2555,Milford,MI,48381,US
2556,New Orleans,LA,70119,US
2557,Pereira,Risaralda,,CO
2558,Brooklyn,New York,11226,US
2559,Beltsville,MD,20705,US
2560,,,,
2561,Cincinnati,OH,45220,US
2562,,,,
2563,Kelowna,BC,V1W 4H9,CA
2564,Palo Alto,CA,94306,US
2565,,Gt Lon,W1J 9DZ,GB
2566,St-Bruno-de-Montarville,QC,,CA
2567,Huntsville,AL,35806,US
2568,San Jose,CA,95192,US
2569,,,,
2570,O'Fallon,MO,63366,US
2571,Ballwin,MO,63011,US
2572,Los Angeles,CA,,US
2573,,,,
2574,Atlanta,GA,30303,US
2575,Burbank,CA,91504,US
2576,American Fork,UT,84003,US
2577,,,,
2578,Gardnerville,NV,,US
2579,Cork,Cork,0,IE
2580,Miami Shores,FL,33138,US
2581,Houston,TX,77002,US
2582,London,Gt Lon,E1 4HG,GB
2583,Paris,IdF,75005,FR
2584,Puerto Plata,Dominican Republic,,DO
2585,Houston,TX,77027,US
2586,,England,NN4,GB
2587,Austin,TX,78758,US
2588,,,,
2589,,,Zip/Postal,
2590,Choteau,MT,,US
2591,Limassol,Limassol,,CY
2592,,,,
2593,Silver Spring,MD,20910,US
2594,Philadelphia,,19106,US
2595,Aspen,CO,81611,US
2596,Se10 8ls,,,
2597,Chicago,IL,60607,US
2598,San Antonio,TX,78212,US
2599,,,WC1H 9PN,GB
2600,,,94583,
2601,Redwood City,CA,94063,US
2602,Mexico DF,,6140,MX
2603,Laguna Hills,CA,92653,US
2604,Berkeley,CA,94720,US
2605,Albion,QLD,4010,AU
2606,,,,
2607,,,,
2608,Tampa,FL,33607,US
2609,Philadelphia,PA,19138,US
2610,Happy Valley,OR,97086,US
2611,,,,
2612,St Louis,MO,43101,US
2613,Wayne,PA,19087,US
2614,San Diego,CA,92108,US
2615,Northampton ,Northamptonshire,NN1 2LA,GB
2616,Wichita,KS,67206,US
2617,New York,NY,NY 10007,US
2618,Atlanta,GA,30309,US
2619,St Louis,MO,,US
2620,Atlanta,GA,30303,US
2621,Washington,DC,20009,US
2622,Dallas,TX,75206,US
2623,Adelaide,South Australia,5000,AU
2624,Baltimore,MD,21202,US
2625,Braintree,MA,02184-0219,US
2626,Carroboro,NC,,US
2627,Hermosa Beach,CA,90254,US
2628,Indianapolis,IN,46254,US
2629,Chicago,IL,60611,US
2630,Merseyside,,L1 0BS,GB
2631,,,,
2632,Sheffield,South York,S1 2BS,GB
2633,Glasgow,,,GB
2634,Pune,Maharashtra,411038,IN
2635,Vancouver,BC,,CA
2636,Tempe,AZ,85281,US
2637,Bangalore,Karnataka,,IN
2638,New York,NY,10003,US
2639,cali,CA,,US
2640,Philadelphia,,19123,US
2641,Fort Worth,TX,76107,US
2642,London,England,EC2A,GB
2643,Canton,MI,48188,US
2644,Hailey,ID,83333,US
2645,Roxbury,MA,2119,US
2646,College Park,MD,20785,US
2647,Wentzville,MO,63385,US
2648,Richmond,VA,23233,US
2649,San Francisco,CA,,US
2650,New Orleans,LA,,US
2651,Thousand Oaks,CA,91362,US
2652,Fort Smith,AR,72916,US
2653,Braselton,GA,30517,US
2654,,,,
2655,Olin 225,MA,2210,US
2656,New York,NY,10022,US
2657,Bucharest,Bucharest,10551,RO
2658,Singapore City,Singapore City,188064,SG
2659,North Platte,NE,69101,US
2660,Los Angeles,CA,90012,US
2661,Valencia,CA,91354,US
2662,Wollongong,NSW,2500,AU
2663,,,,
2664,,,,
2665,Parkville,VIC,3010,AU
2666,London,London,W1G 0PP ,GB
2667,Toronto,ON,,CA
2668,Berkeley,CA,,US
2669,Conyers,GA,30094,US
2670,Louisville,KY,40202,US
2671,Clovis,CA,93612,US
2672,Londonderry,Derry,,GB
2673,Austin,TX,78749,US
2674,Nanaimo,British Columbia,,CA
2675,Baton Rouge,LA,70802,US
2676,Chandler,AZ,85224,US
2677,Kelowna,British Columbia,V1W 4C2,CA
2678,Conyers,GA,30012-3806,US
2679,,,,
2680,Brisbane,Queensland,4000,AU
2681,,MO,,US
2682,Bellevue,WA,98004,US
2683,London,London,SW1P 4QP,GB
2684,Longwood,FL,32750,US
2685,Newport,,,US
2686,,Perm Krai,,RU
2687,Louisville,KY,40202,US
2688,San Francisco,CA,CA,US
2689,Dallas,TX,75214,US
2690,London,,SE1 9UL,GB
2691,Goodna,QLD,4300,AU
2692,LONDON,,WC1E 7JE,GB
2693,San Antonio,TX,78260,US
2694,Exeter ,NH,3883,US
2695,Vancouver,BC,V6B 6B1,CA
2696,Saint Paul,MN,55104,US
2697,Everett,WA,98201,US
2698,Singapore,,18981,SG
2699,Gold Coast,Queensland,4215,AU
2700,Grosse Pointe Farms,MI,48236,US
2701,Atlanta,GA,30345,US
2702,Lake Worth,FL,33460,US
2703,Euless,TX,76040,US
2704,Gilbert,AZ,az,US
2705,Dusseldorf,NRW,40215,DE
2706,Chatham-Kent,ON,N7L,CA
2707,San Francisco,CA,94103,US
